GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cse364-project,kr.twww.mrs.preprocess.predict,PredictorImpl,0,311,0,20,0,81,0,22,0,12
cse364-project,kr.twww.mrs.preprocess.predict,PredictorBase,0,3,0,0,0,1,0,1,0,1
cse364-project,kr.twww.mrs,Main,0,85,0,10,0,21,0,7,0,2
cse364-project,kr.twww.mrs.preprocess,PreprocessorBase,0,3,0,0,0,1,0,1,0,1
cse364-project,kr.twww.mrs.preprocess,PreprocessorImpl,0,578,0,84,0,135,0,63,0,21
cse364-project,kr.twww.mrs.preprocess.object,Score,0,6,0,0,0,3,0,1,0,1
cse364-project,kr.twww.mrs.data,DataReaderBase,0,3,0,0,0,1,0,1,0,1
cse364-project,kr.twww.mrs.data,DataReaderImpl,0,442,0,36,0,92,0,30,0,12
cse364-project,kr.twww.mrs.data,DataType,0,44,0,0,0,5,0,1,0,1
cse364-project,kr.twww.mrs.data.object,User.Gender,0,34,0,0,0,4,0,1,0,1
cse364-project,kr.twww.mrs.data.object,User.Age,0,84,0,0,0,9,0,1,0,1
cse364-project,kr.twww.mrs.data.object,Movie.Genre,0,184,0,0,0,19,0,1,0,1
cse364-project,kr.twww.mrs.data.object,Movie,0,49,0,4,0,11,0,4,0,2
cse364-project,kr.twww.mrs.data.object,User,0,187,0,39,0,59,0,27,0,7
cse364-project,kr.twww.mrs.data.object,Link,0,7,0,0,0,2,0,2,0,2
cse364-project,kr.twww.mrs.data.object,User.Occupation,0,224,0,0,0,23,0,1,0,1
